Date,Total deposits_Expenditure,Total deposits_Metres drilled
Mar-1974,18.4,0
Jun-1974,23.0,0
Sep-1974,25.8,0
Dec-1974,31.7,0
Mar-1975,22.8,0
Jun-1975,25.0,0
Sep-1975,22.4,0
Dec-1975,22.4,0
Mar-1976,17.0,0
Jun-1976,22.6,0
Sep-1976,28.8,0
Dec-1976,38.0,0
Mar-1977,25.5,0
Jun-1977,33.1,0
Sep-1977,38.4,0
Dec-1977,43.8,0
Mar-1978,29.5,0
Jun-1978,38.2,0
Sep-1978,40.2,0
Dec-1978,46.4,0
Mar-1979,35.4,0
Jun-1979,49.0,0
Sep-1979,51.3,0
Dec-1979,65.9,0
Mar-1980,56.1,0
Jun-1980,79.9,0
Sep-1980,95.7,0
Dec-1980,108.3,0
Mar-1981,79.3,0
Jun-1981,111.1,0
Sep-1981,124.5,0
Dec-1981,133.3,0
Mar-1982,103.2,0
Jun-1982,119.6,0
Sep-1982,99.9,0
Dec-1982,107.7,0
Mar-1983,65.0,0
Jun-1983,77.5,0
Sep-1983,82.7,0
Dec-1983,103.7,0
Mar-1984,73.3,0
Jun-1984,91.7,0
Sep-1984,92.7,0
Dec-1984,111.8,0
Mar-1985,68.7,0
Jun-1985,77.8,0
Sep-1985,76.3,0
Dec-1985,84.1,0
Mar-1986,63.6,0
Jun-1986,93.1,0
Sep-1986,88.6,0
Dec-1986,96.7,0
Mar-1987,75.7,0
Jun-1987,96.8,0
Sep-1987,181.6,1938.0
Dec-1987,214.4,2372.0
Mar-1988,183.7,1914.0
Jun-1988,221.2,2134.0
Sep-1988,181.9,2037.0
Dec-1988,195.1,1631.0
Mar-1989,150.4,1358.0
Jun-1989,170.2,1551.0
Sep-1989,150.8,1530.0
Dec-1989,165.1,1779.0
Mar-1990,129.5,1481.0
Jun-1990,162.1,1542.0
Sep-1990,143.7,1674.0
Dec-1990,166.8,1765.0
Mar-1991,126.6,1341.0
Jun-1991,164.6,1432.0
Sep-1991,153.4,1723.0
Dec-1991,164.2,1457.0
Mar-1992,125.3,1198.0
Jun-1992,161.0,1499.0
Sep-1992,160.9,1638.0
Dec-1992,174.6,2001.0
Mar-1993,123.0,1268.0
Jun-1993,173.3,2086.0
