Date,Expenditure Total deposits,Metres drilled Total deposits
1/09/1987,181.6,1938
1/12/1987,214.4,2372
1/03/1988,183.7,1914
1/06/1988,221.2,2134
1/09/1988,181.9,2037
1/12/1988,195.1,1631
1/03/1989,150.4,1358
1/06/1989,170.2,1551
1/09/1989,150.8,1530
1/12/1989,165.1,1779
1/03/1990,129.5,1481
1/06/1990,162.1,1542
1/09/1990,143.7,1674
1/12/1990,166.8,1765
1/03/1991,126.6,1341
1/06/1991,164.6,1432
1/09/1991,153.4,1723
1/12/1991,164.2,1457
1/03/1992,125.3,1198
1/06/1992,161,1499
1/09/1992,160.9,1638
1/12/1992,174.6,2001
1/03/1993,123,1268
1/06/1993,173.3,2086
1/09/1993,187.5,2509
1/12/1993,208.9,2544
1/03/1994,175.6,2042
1/06/1994,220.6,2485
1/09/1994,226.1,2751
1/12/1994,232.2,2785
1/03/1995,190.3,2045
1/06/1995,244.6,2749
1/09/1995,227.1,2799
1/12/1995,229.3,2282
1/03/1996,219,2364
1/06/1996,284.9,3069
1/09/1996,274.2,3248
1/12/1996,291.6,3086
1/03/1997,235.6,2768
1/06/1997,347.2,3729
1/09/1997,301.8,3596
1/12/1997,282,2878
1/03/1998,220.4,2007
1/06/1998,262.6,2727.7
1/09/1998,235.9,2183.2
1/12/1998,239.6,2619.4
1/03/1999,167.3,1247
1/06/1999,195,2051.1
1/09/1999,180.1,1742.8
1/12/1999,176.9,1379.1
1/03/2000,136.7,1064.3
1/06/2000,182.7,1817.4
1/09/2000,169.8,1581.8
1/12/2000,187.2,1525.2
1/03/2001,143.5,1218.5
1/06/2001,182.8,1496.4
1/09/2001,167.4,1389.4
1/12/2001,170.7,1297.2
1/03/2002,134.2,936.7
1/06/2002,168.3,1210.8
1/09/2002,182.9,1468.3
1/12/2002,192.8,1094.8
1/03/2003,153.4,1076.1
1/06/2003,203.7,1518.3
1/09/2003,179.7,1404
1/12/2003,199.5,1326
1/03/2004,167.3,1104
1/06/2004,240.2,1847.1
1/09/2004,251.1,1921.6
1/12/2004,260.8,1648.5
1/03/2005,225.8,1431.4
1/06/2005,290.7,1782.9
1/09/2005,292,1835
1/12/2005,327.6,1618.6
1/03/2006,263.7,1467.1
1/06/2006,357.4,1916.1
1/09/2006,394.6,2251
1/12/2006,448.2,2099.7
1/03/2007,369.3,1784.2
1/06/2007,502.5,2319.7
1/09/2007,563.4,2556.7
1/12/2007,625.9,2446.1
1/03/2008,544,2012.5
1/06/2008,728.1,2740.3
1/09/2008,687.7,2704.8
1/12/2008,648.5,2236.5
1/03/2009,403.5,1226.5
1/06/2009,483.5,1719.9
1/09/2009,557.4,2141
1/12/2009,578.8,2294.1
1/03/2010,459.3,1543.3
1/06/2010,637.1,2320.5
1/09/2010,669.4,2463.2
1/12/2010,724.4,2382
1/03/2011,650.1,1978.9
1/06/2011,907.4,2875.2
1/09/2011,983.4,3157.9
1/12/2011,1032.4,2955.6
1/03/2012,876.1,2271.6
1/06/2012,1061.1,3023.5
1/09/2012,894.7,2714.2
1/12/2012,823.9,2179
1/03/2013,672.2,1534.3
1/06/2013,664.6,1992.5
1/09/2013,638.4,1846.3
1/12/2013,547.4,1764.1
1/03/2014,407.6,1148.1
1/06/2014,515,1694.8
1/09/2014,457.7,1669
1/12/2014,459.2,1613.1
1/03/2015,317.7,1140.7
1/06/2015,344.1,1540.2
1/09/2015,394,1573.5
1/12/2015,382.8,1682.3
1/03/2016,290.4,1301.3
1/06/2016,353.9,1794.6
1/09/2016,379.5,1796.9
1/12/2016,403.1,1842.6
1/03/2017,337.6,1591.2
1/06/2017,444.9,2298.7
1/09/2017,475.2,2294
1/12/2017,496.1,2175.9
1/03/2018,438.7,1853.6
1/06/2018,567.8,2672.8
1/09/2018,584.4,2811.6
1/12/2018,592.7,2494.5
1/03/2019,505.7,2215.8
1/06/2019,664.8,2679.7
1/09/2019,724.8,2780.3
1/12/2019,753.1,2715.2
1/03/2020,610.6,2252.7
1/06/2020,683.3,2495.4
1/09/2020,744.9,2964.8
1/12/2020,770,2990.2
1/03/2021,734.8,2793.8
1/06/2021,912,3644
