Date,Expenditure,Mineral Type
1/09/1999,6.5,Copper deposits 
1/12/1999,8.3,Copper deposits 
1/03/2000,6.5,Copper deposits 
1/06/2000,7,Copper deposits 
1/09/2000,6.9,Copper deposits 
1/12/2000,7.7,Copper deposits 
1/03/2001,5.8,Copper deposits 
1/06/2001,12.3,Copper deposits 
1/09/2001,10,Copper deposits 
1/12/2001,10.3,Copper deposits 
1/03/2002,8.1,Copper deposits 
1/06/2002,13.1,Copper deposits 
1/09/2002,11.1,Copper deposits 
1/12/2002,10.1,Copper deposits 
1/03/2003,8.6,Copper deposits 
1/06/2003,10,Copper deposits 
1/09/2003,7,Copper deposits 
1/12/2003,8.9,Copper deposits 
1/03/2004,8.2,Copper deposits 
1/06/2004,13.8,Copper deposits 
1/09/2004,15.5,Copper deposits 
1/12/2004,18.3,Copper deposits 
1/03/2005,15.2,Copper deposits 
1/06/2005,22.4,Copper deposits 
1/09/2005,31.5,Copper deposits 
1/12/2005,36.7,Copper deposits 
1/03/2006,24.6,Copper deposits 
1/06/2006,46.7,Copper deposits 
1/09/2006,52.7,Copper deposits 
1/12/2006,53.5,Copper deposits 
1/03/2007,51.2,Copper deposits 
1/06/2007,77.1,Copper deposits 
1/09/2007,65.2,Copper deposits 
1/12/2007,70.2,Copper deposits 
1/03/2008,64.8,Copper deposits 
1/06/2008,93.3,Copper deposits 
1/09/2008,79.2,Copper deposits 
1/12/2008,55.7,Copper deposits 
1/03/2009,25.8,Copper deposits 
1/06/2009,18,Copper deposits 
1/09/2009,37,Copper deposits 
1/12/2009,54,Copper deposits 
1/03/2010,47,Copper deposits 
1/06/2010,63.7,Copper deposits 
1/09/2010,68.9,Copper deposits 
1/12/2010,81.8,Copper deposits 
1/03/2011,70.9,Copper deposits 
1/06/2011,101.5,Copper deposits 
1/09/2011,108.9,Copper deposits 
1/12/2011,114.6,Copper deposits 
1/03/2012,98.7,Copper deposits 
1/06/2012,120.4,Copper deposits 
1/09/2012,102.5,Copper deposits 
1/12/2012,92.1,Copper deposits 
1/03/2013,61,Copper deposits 
1/06/2013,63.7,Copper deposits 
1/09/2013,54.6,Copper deposits 
1/12/2013,43.5,Copper deposits 
1/03/2014,36.2,Copper deposits 
1/06/2014,42.5,Copper deposits 
1/09/2014,44.2,Copper deposits 
1/12/2014,40.8,Copper deposits 
1/03/2015,31.3,Copper deposits 
1/06/2015,28.1,Copper deposits 
1/09/2015,30.2,Copper deposits 
1/12/2015,31.4,Copper deposits 
1/03/2016,36.6,Copper deposits 
1/06/2016,32.2,Copper deposits 
1/09/2016,34.8,Copper deposits 
1/12/2016,32.1,Copper deposits 
1/03/2017,26.7,Copper deposits 
1/06/2017,42.2,Copper deposits 
1/09/2017,44.5,Copper deposits 
1/12/2017,42.4,Copper deposits 
1/03/2018,46.2,Copper deposits 
1/06/2018,59.8,Copper deposits 
1/09/2018,73.2,Copper deposits 
1/12/2018,81.6,Copper deposits 
1/03/2019,65,Copper deposits 
1/06/2019,109,Copper deposits 
1/09/2019,117.1,Copper deposits 
1/12/2019,123.8,Copper deposits 
1/03/2020,95.9,Copper deposits 
1/06/2020,83.3,Copper deposits 
1/09/2020,75.8,Copper deposits 
1/12/2020,78.7,Copper deposits 
1/03/2021,102.8,Copper deposits 
1/06/2021,119.6,Copper deposits 
1/09/1999,16.1,Zinc deposits 
1/12/1999,14.7,Zinc deposits 
1/03/2000,10,Zinc deposits 
1/06/2000,14.6,Zinc deposits 
1/09/2000,14.9,Zinc deposits 
1/12/2000,16.3,Zinc deposits 
1/03/2001,13.1,Zinc deposits 
1/06/2001,15.5,Zinc deposits 
1/09/2001,11.4,Zinc deposits 
1/12/2001,9.3,Zinc deposits 
1/03/2002,6.7,Zinc deposits 
1/06/2002,10.3,Zinc deposits 
1/09/2002,8.8,Zinc deposits 
1/12/2002,10.3,Zinc deposits 
1/03/2003,6.7,Zinc deposits 
1/06/2003,10.9,Zinc deposits 
1/09/2003,5.8,Zinc deposits 
1/12/2003,6.3,Zinc deposits 
1/03/2004,6.2,Zinc deposits 
1/06/2004,11.5,Zinc deposits 
1/09/2004,7.8,Zinc deposits 
1/12/2004,7.9,Zinc deposits 
1/03/2005,7,Zinc deposits 
1/06/2005,8.6,Zinc deposits 
1/09/2005,13.1,Zinc deposits 
1/12/2005,17.8,Zinc deposits 
1/03/2006,14.8,Zinc deposits 
1/06/2006,25.5,Zinc deposits 
1/09/2006,26.3,Zinc deposits 
1/12/2006,34.1,Zinc deposits 
1/03/2007,33.5,Zinc deposits 
1/06/2007,45.5,Zinc deposits 
