date,New South Wales, Victoria,Queensland,South Australia,Western Australia,Tasmania ,Northern Territory
Sep-1988,12.1,5.1,35.3,4.6,104.7,2.5,17.5
Dec-1988,15.7,6.6,36.0,6.5,106.3,3.0,21.1
Mar-1989,11.0,4.1,32.0,3.0,84.2,3.4,12.6
Jun-1989,11.8,5.9,36.5,2.5,92.0,4.2,17.4
Sep-1989,11.3,5.2,33.1,2.3,78.9,3.2,17.0
Dec-1989,13.2,6.3,38.6,3.3,80.9,3.3,19.4
Mar-1990,14.2,4.9,29.2,2.2,67.3,2.8,8.9
Jun-1990,16.4,4.5,27.6,5.3,88.3,2.5,17.4
Sep-1990,12.3,3.0,30.8,3.8,78.8,1.7,13.5
Dec-1990,18.0,2.6,38.3,4.0,84.2,3.1,16.6
Mar-1991,14.2,2.7,25.9,3.6,68.0,3.2,8.8
Jun-1991,16.0,4.5,29.1,4.2,93.8,1.9,15.0
Sep-1991,14.1,2.7,26.7,4.8,87.9,2.6,14.5
Dec-1991,17.8,2.5,31.5,6.6,88.1,1.9,15.7
Mar-1992,15.5,3.7,20.8,3.3,69.3,1.9,10.8
Jun-1992,15.9,3.7,31.0,4.9,87.4,1.4,16.7
Sep-1992,15.4,3.0,33.0,5.5,86.5,1.1,16.4
Dec-1992,20.3,3.4,34.5,5.9,91.6,1.7,17.2
Mar-1993,9.1,2.8,20.2,3.8,74.2,2.2,10.6
Jun-1993,16.1,3.0,30.2,6.1,95.8,2.8,19.3
Sep-1993,14.4,3.5,33.1,5.6,110.4,1.7,18.9
Dec-1993,18.4,4.6,39.6,6.4,119.0,2.0,18.9
Mar-1994,15.8,6.3,30.2,6.9,100.9,3.4,12.1
Jun-1994,25.0,6.3,37.0,5.8,123.4,3.1,19.9
Sep-1994,18.4,6.7,45.0,4.6,127.5,2.8,21.1
Dec-1994,18.3,6.5,53.7,5.1,126.4,2.9,19.3
Mar-1995,19.7,9.3,32.4,4.6,106.3,4.0,14.1
