Date,Total_Dep,State,,,,,,,,,,
Mar-74,,New South Wales,,,,,,,,,,
Jun-74,,New South Wales,,,,,,,,,,
Sep-74,,New South Wales,,,,,,,,,,
Dec-74,,New South Wales,,,,,,,,,,
Mar-75,,New South Wales,,,,,,,,,,
Jun-75,,New South Wales,,,,,,,,,,
Sep-75,,New South Wales,,,,,,,,,,
Dec-75,,New South Wales,,,,,,,,,,
Mar-76,,New South Wales,,,,,,,,,,
Jun-76,,New South Wales,,,,,,,,,,
Sep-76,,New South Wales,,,,,,,,,,
Dec-76,,New South Wales,,,,,,,,,,
Mar-77,,New South Wales,,,,,,,,,,
Jun-77,,New South Wales,,,,,,,,,,
Sep-77,,New South Wales,,,,,,,,,,
Dec-77,,New South Wales,,,,,,,,,,
Mar-78,,New South Wales,,,,,,,,,,
Jun-78,,New South Wales,,,,,,,,,,
Sep-78,,New South Wales,,,,,,,,,,
Dec-78,,New South Wales,,,,,,,,,,
Mar-79,,New South Wales,,,,,,,,,,
Jun-79,,New South Wales,,,,,,,,,,
Sep-79,,New South Wales,,,,,,,,,,
Dec-79,,New South Wales,,,,,,,,,,
Mar-80,,New South Wales,,,,,,,,,,
Jun-80,,New South Wales,,,,,,,,,,
Sep-80,,New South Wales,,,,,,,,,,
Dec-80,,New South Wales,,,,,,,,,,
Mar-81,,New South Wales,,,,,,,,,,
Jun-81,,New South Wales,,,,,,,,,,
Sep-81,,New South Wales,,,,,,,,,,
Dec-81,,New South Wales,,,,,,,,,,
Mar-82,,New South Wales,,,,,,,,,,
Jun-82,,New South Wales,,,,,,,,,,
Sep-82,,New South Wales,,,,,,,,,,
Dec-82,,New South Wales,,,,,,,,,,
Mar-83,,New South Wales,,,,,,,,,,
Jun-83,,New South Wales,,,,,,,,,,
Sep-83,,New South Wales,,,,,,,,,,
Dec-83,,New South Wales,,,,,,,,,,
Mar-84,,New South Wales,,,,,,,,,,
Jun-84,,New South Wales,,,,,,,,,,
Sep-84,,New South Wales,,,,,,,,,,
Dec-84,,New South Wales,,,,,,,,,,
Mar-85,,New South Wales,,,,,,,,,,
Jun-85,,New South Wales,,,,,,,,,,
Sep-85,,New South Wales,,,,,,,,,,
Dec-85,,New South Wales,,,,,,,,,,
Mar-86,,New South Wales,,,,,,,,,,
Jun-86,,New South Wales,,,,,,,,,,
Sep-86,,New South Wales,,,,,,,,,,
Dec-86,,New South Wales,,,,,,,,,,
Mar-87,,New South Wales,,,,,,,,,,
Jun-87,,New South Wales,,,,,,,,,,
Sep-87,,New South Wales,,,,,,,,,,
Dec-87,,New South Wales,,,,,,,,,,
Mar-88,,New South Wales,,,,,,,,,,
Jun-88,,New South Wales,,,,,,,,,,
Sep-88,12.1,New South Wales,,,,,,,,,,
Dec-88,15.7,New South Wales,,,,,,,,,,
Mar-89,11,New South Wales,,,,,,,,,,
Jun-89,11.8,New South Wales,,,,,,,,,,
Sep-89,11.3,New South Wales,,,,,,,,,,
Dec-89,13.2,New South Wales,,,,,,,,,,
Mar-90,14.2,New South Wales,,,,,,,,,,
Jun-90,16.4,New South Wales,,,,,,,,,,
Sep-90,12.3,New South Wales,,,,,,,,,,
Dec-90,18,New South Wales,,,,,,,,,,
Mar-91,14.2,New South Wales,,,,,,,,,,
Jun-91,16,New South Wales,,,,,,,,,,
Sep-91,14.1,New South Wales,,,,,,,,,,
Dec-91,17.8,New South Wales,,,,,,,,,,
Mar-92,15.5,New South Wales,,,,,,,,,,
Jun-92,15.9,New South Wales,,,,,,,,,,
Sep-92,15.4,New South Wales,,,,,,,,,,
Dec-92,20.3,New South Wales,,,,,,,,,,
Mar-93,9.1,New South Wales,,,,,,,,,,
Jun-93,16.1,New South Wales,,,,,,,,,,
Sep-93,14.4,New South Wales,,,,,,,,,,
Dec-93,18.4,New South Wales,,,,,,,,,,
Mar-94,15.8,New South Wales,,,,,,,,,,
Jun-94,25,New South Wales,,,,,,,,,,
Sep-94,18.4,New South Wales,,,,,,,,,,
Dec-94,18.3,New South Wales,,,,,,,,,,
Mar-95,19.7,New South Wales,,,,,,,,,,
Jun-95,22.7,New South Wales,,,,,,,,,,
Sep-95,20.5,New South Wales,,,,,,,,,,
Dec-95,17.7,New South Wales,,,,,,,,,,
Mar-96,19.2,New South Wales,,,,,,,,,,
Jun-96,23,New South Wales,,,,,,,,,,
Sep-96,21.1,New South Wales,,,,,,,,,,
Dec-96,20.6,New South Wales,,,,,,,,,,
Mar-97,22,New South Wales,,,,,,,,,,
Jun-97,30.4,New South Wales,,,,,,,,,,
Sep-97,23.3,New South Wales,,,,,,,,,,
Dec-97,26.1,New South Wales,,,,,,,,,,
Mar-98,20.8,New South Wales,,,,,,,,,,
Jun-98,18,New South Wales,,,,,,,,,,
Sep-98,14.2,New South Wales,,,,,,,,,,
Dec-98,18.4,New South Wales,,,,,,,,,,
Mar-99,15.6,New South Wales,,,,,,,,,,
Jun-99,17.4,New South Wales,,,,,,,,,,
Sep-99,14.6,New South Wales,,,,,,,,,,
Dec-99,14.8,New South Wales,,,,,,,,,,
Mar-00,12.1,New South Wales,,,,,,,,,,
Jun-00,14.6,New South Wales,,,,,,,,,,
Sep-00,13.6,New South Wales,,,,,,,,,,
Dec-00,15.8,New South Wales,,,,,,,,,,
Mar-01,12.7,New South Wales,,,,,,,,,,
Jun-01,15.1,New South Wales,,,,,,,,,,
Sep-01,12.5,New South Wales,,,,,,,,,,
Dec-01,12.6,New South Wales,,,,,,,,,,
Mar-02,10.5,New South Wales,,,,,,,,,,
Jun-02,12.6,New South Wales,,,,,,,,,,
Sep-02,15.4,New South Wales,,,,,,,,,,
Dec-02,13.7,New South Wales,,,,,,,,,,
Mar-03,13.2,New South Wales,,,,,,,,,,
Jun-03,16.5,New South Wales,,,,,,,,,,
Sep-03,10.4,New South Wales,,,,,,,,,,
Dec-03,14.8,New South Wales,,,,,,,,,,
Mar-04,10.6,New South Wales,,,,,,,,,,
Jun-04,14.7,New South Wales,,,,,,,,,,
Sep-04,17.2,New South Wales,,,,,,,,,,
Dec-04,17.2,New South Wales,,,,,,,,,,
Mar-05,18,New South Wales,,,,,,,,,,
Jun-05,21.2,New South Wales,,,,,,,,,,
Sep-05,22.7,New South Wales,,,,,,,,,,
Dec-05,29.4,New South Wales,,,,,,,,,,
Mar-06,29.8,New South Wales,,,,,,,,,,
Jun-06,32.2,New South Wales,,,,,,,,,,
Sep-06,35.3,New South Wales,,,,,,,,,,
Dec-06,43,New South Wales,,,,,,,,,,
Mar-07,32.3,New South Wales,,,,,,,,,,
Jun-07,33.5,New South Wales,,,,,,,,,,
Sep-07,38,New South Wales,,,,,,,,,,
Dec-07,48.3,New South Wales,,,,,,,,,,
Mar-08,52.3,New South Wales,,,,,,,,,,
Jun-08,51.3,New South Wales,,,,,,,,,,
Sep-08,49.2,New South Wales,,,,,,,,,,
Dec-08,49.6,New South Wales,,,,,,,,,,
Mar-09,40.2,New South Wales,,,,,,,,,,
Jun-09,36.3,New South Wales,,,,,,,,,,
Sep-09,38.7,New South Wales,,,,,,,,,,
Dec-09,28.4,New South Wales,,,,,,,,,,
Mar-10,32.6,New South Wales,,,,,,,,,,
Jun-10,30.7,New South Wales,,,,,,,,,,
Sep-10,31.5,New South Wales,,,,,,,,,,
Dec-10,36.9,New South Wales,,,,,,,,,,
Mar-11,39,New South Wales,,,,,,,,,,
Jun-11,45.8,New South Wales,,,,,,,,,,
Sep-11,63.6,New South Wales,,,,,,,,,,
Dec-11,63.4,New South Wales,,,,,,,,,,
