Date,Total_Dep,State,Deposits
1/03/1974,0,New South Wales,0
1/06/1974,0,New South Wales,0
1/09/1974,0,New South Wales,0
1/12/1974,0,New South Wales,0
1/03/1975,0,New South Wales,0
1/06/1975,0,New South Wales,0
1/09/1975,0,New South Wales,0
1/12/1975,0,New South Wales,0
1/03/1976,0,New South Wales,0
1/06/1976,0,New South Wales,0
1/09/1976,0,New South Wales,0
1/12/1976,0,New South Wales,0
1/03/1977,0,New South Wales,0
1/06/1977,0,New South Wales,0
1/09/1977,0,New South Wales,0
1/12/1977,0,New South Wales,0
1/03/1978,0,New South Wales,0
1/06/1978,0,New South Wales,0
1/09/1978,0,New South Wales,0
1/12/1978,0,New South Wales,0
1/03/1979,0,New South Wales,0
1/06/1979,0,New South Wales,0
1/09/1979,0,New South Wales,0
1/12/1979,0,New South Wales,0
1/03/1980,0,New South Wales,0
1/06/1980,0,New South Wales,0
1/09/1980,0,New South Wales,0
1/12/1980,0,New South Wales,0
1/03/1981,0,New South Wales,0
1/06/1981,0,New South Wales,0
1/09/1981,0,New South Wales,0
1/12/1981,0,New South Wales,0
1/03/1982,0,New South Wales,0
1/06/1982,0,New South Wales,0
1/09/1982,0,New South Wales,0
1/12/1982,0,New South Wales,0
1/03/1983,0,New South Wales,0
1/06/1983,0,New South Wales,0
1/09/1983,0,New South Wales,0
1/12/1983,0,New South Wales,0
1/03/1984,0,New South Wales,0
1/06/1984,0,New South Wales,0
1/09/1984,0,New South Wales,0
1/12/1984,0,New South Wales,0
1/03/1985,0,New South Wales,0
1/06/1985,0,New South Wales,0
1/09/1985,0,New South Wales,0
1/12/1985,0,New South Wales,0
1/03/1986,0,New South Wales,0
1/06/1986,0,New South Wales,0
1/09/1986,0,New South Wales,0
1/12/1986,0,New South Wales,0
1/03/1987,0,New South Wales,0
1/06/1987,0,New South Wales,0
1/09/1987,0,New South Wales,0
1/12/1987,0,New South Wales,0
1/03/1988,0,New South Wales,0
1/06/1988,0,New South Wales,0
1/09/1988,12.1,New South Wales,13
1/12/1988,15.7,New South Wales,16
1/03/1989,11,New South Wales,11
1/06/1989,11.8,New South Wales,12
1/09/1989,11.3,New South Wales,12
1/12/1989,13.2,New South Wales,14
1/03/1990,14.2,New South Wales,15
1/06/1990,16.4,New South Wales,17
1/09/1990,12.3,New South Wales,13
1/12/1990,18,New South Wales,18
1/03/1991,14.2,New South Wales,15
1/06/1991,16,New South Wales,16
1/09/1991,14.1,New South Wales,15
1/12/1991,17.8,New South Wales,18
1/03/1992,15.5,New South Wales,16
1/06/1992,15.9,New South Wales,16
1/09/1992,15.4,New South Wales,16
1/12/1992,20.3,New South Wales,21
1/03/1993,9.1,New South Wales,10
1/06/1993,16.1,New South Wales,17
1/09/1993,14.4,New South Wales,15
1/12/1993,18.4,New South Wales,19
1/03/1994,15.8,New South Wales,16
1/06/1994,25,New South Wales,25
1/09/1994,18.4,New South Wales,19
1/12/1994,18.3,New South Wales,19
1/03/1995,19.7,New South Wales,20
1/06/1995,22.7,New South Wales,23
1/09/1995,20.5,New South Wales,21
1/12/1995,17.7,New South Wales,18
1/03/1996,19.2,New South Wales,20
1/06/1996,23,New South Wales,23
1/09/1996,21.1,New South Wales,22
1/12/1996,20.6,New South Wales,21
1/03/1997,22,New South Wales,22
1/06/1997,30.4,New South Wales,31
1/09/1997,23.3,New South Wales,24
1/12/1997,26.1,New South Wales,27
1/03/1998,20.8,New South Wales,21
1/06/1998,18,New South Wales,18
1/09/1998,14.2,New South Wales,15
1/12/1998,18.4,New South Wales,19
1/03/1999,15.6,New South Wales,16
1/06/1999,17.4,New South Wales,18
1/09/1999,14.6,New South Wales,15
1/12/1999,14.8,New South Wales,15
1/03/2000,12.1,New South Wales,13
1/06/2000,14.6,New South Wales,15
1/09/2000,13.6,New South Wales,14
1/12/2000,15.8,New South Wales,16
1/03/2001,12.7,New South Wales,13
1/06/2001,15.1,New South Wales,16
1/09/2001,12.5,New South Wales,13
1/12/2001,12.6,New South Wales,13
1/03/2002,10.5,New South Wales,11
1/06/2002,12.6,New South Wales,13
1/09/2002,15.4,New South Wales,16
1/12/2002,13.7,New South Wales,14
1/03/2003,13.2,New South Wales,14
1/06/2003,16.5,New South Wales,17
1/09/2003,10.4,New South Wales,11
1/12/2003,14.8,New South Wales,15
1/03/2004,10.6,New South Wales,11
1/06/2004,14.7,New South Wales,15
1/09/2004,17.2,New South Wales,18
1/12/2004,17.2,New South Wales,18
1/03/2005,18,New South Wales,18
1/06/2005,21.2,New South Wales,22
1/09/2005,22.7,New South Wales,23
1/12/2005,29.4,New South Wales,30
1/03/2006,29.8,New South Wales,30
1/06/2006,32.2,New South Wales,33
1/09/2006,35.3,New South Wales,36
1/12/2006,43,New South Wales,43
1/03/2007,32.3,New South Wales,33
1/06/2007,33.5,New South Wales,34
1/09/2007,38,New South Wales,38
1/12/2007,48.3,New South Wales,49
1/03/2008,52.3,New South Wales,53
1/06/2008,51.3,New South Wales,52
1/09/2008,49.2,New South Wales,50
1/12/2008,49.6,New South Wales,50
1/03/2009,40.2,New South Wales,41
1/06/2009,36.3,New South Wales,37
1/09/2009,38.7,New South Wales,39
1/12/2009,28.4,New South Wales,29
1/03/2010,32.6,New South Wales,33
1/06/2010,30.7,New South Wales,31
1/09/2010,31.5,New South Wales,32
1/12/2010,36.9,New South Wales,37
1/03/2011,39,New South Wales,39
